median,min,max,overlap,idx
45,44,69,0.99293,1
45,44,74,0.99679,1
45,44,70,0.996,1
45,44,66,0.99649,1
45,44,72,0.99804,1
45,44,68,0.99787,1
45,44,69,0.99753,1
45,44,64,0.99751,1
45,44,66,0.99489,1
45,44,69,0.99691,1
45,44,72,0.99656,1
45,44,67,0.99598,1
45,44,65,0.99696,1
45,44,68,0.99747,1
45,44,69,0.9961,1
45,44,67,0.99581,1
45,44,68,0.99542,1
45,44,68,0.99751,1
45,44,72,0.99759,1
45,44,64,0.99662,1
45,44,67,0.99735,1
45,44,66,0.99716,1
45,44,67,0.99663,1
45,44,66,0.99686,1
45,44,73,0.99622,1
45,44,68,0.99519,1
45,44,66,0.99682,1
45,44,71,0.99774,1
45,44,69,0.99505,1
45,44,67,0.99751,1
45,44,68,0.99751,1
45,44,68,0.99706,1
45,44,70,0.99582,1
45,44,69,0.99737,1
45,44,66,0.99657,1
45,44,69,0.99627,1
45,44,68,0.99814,1
45,44,71,0.99485,1
45,44,69,0.9952,1
45,44,67,0.99742,1
45,44,68,0.99563,1
45,44,65,0.99812,1
45,44,68,0.99503,1
45,44,67,0.99755,1
45,44,67,0.99712,1
45,44,70,0.99613,1
45,44,69,0.99698,1
45,44,69,0.99799,1
45,44,69,0.99687,1
45,44,65,0.997,1
45,44,70,0.99644,1
45,44,67,0.99597,1
45,44,68,0.99748,1
45,44,65,0.99699,1
45,44,70,0.99648,1
45,44,66,0.99801,1
45,44,64,0.99725,1
45,44,68,0.99671,1
45,44,69,0.99632,1
45,44,66,0.99731,1
45,44,69,0.99658,1
45,44,68,0.99656,1
45,44,70,0.99601,1
45,44,65,0.99659,1
45,44,70,0.99682,1
45,44,67,0.99661,1
45,44,72,0.99424,1
45,44,71,0.99368,1
45,44,67,0.99681,1
45,44,65,0.99743,1
45,44,71,0.99547,1
45,44,64,0.99636,1
45,44,68,0.99759,1
45,44,68,0.99604,1
45,44,74,0.99619,1
45,44,72,0.99751,1
45,44,71,0.99511,1
45,44,69,0.99742,1
45,44,65,0.99517,1
45,44,68,0.99579,1
45,44,69,0.99555,1
45,44,67,0.99685,1
45,44,66,0.99728,1
45,44,70,0.99713,1
45,44,67,0.99682,1
45,44,69,0.99529,1
45,44,67,0.99619,1
45,44,67,0.99547,1
45,44,70,0.99729,1
45,44,66,0.99668,1
45,44,68,0.99774,1
45,44,65,0.99564,1
45,44,70,0.99761,1
45,44,69,0.99601,1
45,44,68,0.99515,1
45,44,67,0.99726,1
45,44,70,0.99758,1
45,44,66,0.99542,1
45,44,67,0.99677,1
45,44,65,0.99703,1
45,44,68,0.99672,1
