Length,Hardness,Treatment,Day,Rep,mean_norm
L,H,15C,2,1,0.9375
L,H,15C,2,2,0.90625
L,H,15C,2,3,0.9375
L,H,15C,2,4,0.78125
L,H,15C,2,5,0.728125
L,H,15C,2,6,0.9375
L,H,15C,2,7,0.83125
L,H,15C,2,8,0.921875
L,H,15C,2,9,0.765625
L,H,15C,2,10,0.9375
L,H,15C,2,11,0.93125
L,H,15C,2,12,0.928125
L,H,15C,2,13,0.9375
L,H,15C,2,14,0.6875
L,H,15C,2,15,0.9375
L,H,15C,2,16,0.709375
L,H,15C,2,17,0.9375
L,H,15C,2,18,0.75
L,H,15C,2,19,0.93125
L,H,15C,2,20,0.76875
L,S,15P,2,1,0.875
L,S,15P,2,2,0.81875
L,S,15P,2,3,0
L,S,15P,2,4,0.4875
L,S,15P,2,5,0.9375
L,S,15P,2,6,0.084375
L,S,15P,2,7,0.6125
L,S,15P,2,8,0.29375
L,S,15P,2,9,0.13125
L,S,15P,2,10,0.10625
L,S,15P,2,11,0.41875
L,S,15P,2,12,0.30625
L,S,15P,2,13,0.9375
L,S,15P,2,14,0.128125
L,S,15P,2,15,0.009375
L,S,15P,2,16,0.696875
L,S,15P,2,17,0.696875
L,S,15P,2,18,0.728125
L,S,15P,2,19,0.9375
L,S,15P,2,20,0.928125
S,H,5C,2,1,0.633333333
S,H,5C,2,2,0.758333333
S,H,5C,2,3,0.716666667
S,H,5C,2,4,0.833333333
S,H,5C,2,5,0.675
S,H,5C,2,6,0.833333333
S,H,5C,2,7,0.566666667
S,H,5C,2,8,0.833333333
S,H,5C,2,9,0.383333333
S,H,5C,2,10,0.041666667
S,H,5C,2,11,0.825
S,H,5C,2,12,0.158333333
S,H,5C,2,13,0.808333333
S,H,5C,2,14,0.833333333
S,H,5C,2,15,0.833333333
S,H,5C,2,16,0.833333333
S,H,5C,2,17,0.833333333
S,H,5C,2,18,0
S,H,5C,2,19,0.491666667
S,H,5C,2,20,0.833333333
S,S,5P,2,1,0.366666667
S,S,5P,2,2,0.575
S,S,5P,2,3,0.625
S,S,5P,2,4,0.058333333
S,S,5P,2,5,0.65
S,S,5P,2,6,0.158333333
S,S,5P,2,7,0.583333333
S,S,5P,2,8,0.016666667
S,S,5P,2,9,0.083333333
S,S,5P,2,10,0.825
S,S,5P,2,11,0
S,S,5P,2,12,0.775
S,S,5P,2,13,0.008333333
S,S,5P,2,14,0.266666667
S,S,5P,2,15,0.216666667
S,S,5P,2,16,0.533333333
S,S,5P,2,17,0.25
S,S,5P,2,18,0.75
S,S,5P,2,19,0.333333333
S,S,5P,2,20,0.016666667
