Length,Hardness,Day,ColonyID,Numbercleared
L,H,4,1,1
L,H,4,5,8
L,H,4,9,0
L,H,4,13,297
L,H,4,17,79
L,H,4,4,5
L,H,4,8,51
L,H,4,12,24
L,H,4,16,188
L,H,4,20,0
L,H,4,3,5
L,H,4,7,3
L,H,4,11,52
L,H,4,15,79
L,H,4,19,0
L,H,4,2,140
L,H,4,6,10
L,H,4,10,22
L,H,4,14,14
L,H,4,18,96
L,S,4,3,69
L,S,4,7,27
L,S,4,11,300
L,S,4,15,260
L,S,4,19,1
L,S,4,2,300
L,S,4,6,253
L,S,4,10,290
L,S,4,14,300
L,S,4,18,300
L,S,4,1,120
L,S,4,5,191
L,S,4,9,5
L,S,4,13,300
L,S,4,17,300
L,S,4,4,118
L,S,4,8,102
L,S,4,12,54
L,S,4,16,0
L,S,4,20,1
S,H,4,2,100
S,H,4,6,27
S,H,4,10,28
S,H,4,14,3
S,H,4,18,52
S,H,4,1,7
S,H,4,5,50
S,H,4,9,30
S,H,4,13,100
S,H,4,17,100
S,H,4,4,30
S,H,4,8,85
S,H,4,12,4
S,H,4,16,0
S,H,4,20,2
S,H,4,3,0
S,H,4,7,0
S,H,4,11,100
S,H,4,15,55
S,H,4,19,0
S,S,4,4,89
S,S,4,8,71
S,S,4,12,92
S,S,4,16,97
S,S,4,20,70
S,S,4,3,89
S,S,4,7,32
S,S,4,11,100
S,S,4,15,99
S,S,4,19,1
S,S,4,2,100
S,S,4,6,8
S,S,4,10,100
S,S,4,14,100
S,S,4,18,100
S,S,4,1,35
S,S,4,5,98
S,S,4,9,61
S,S,4,13,89
S,S,4,17,100
